,tweet_id,retweet_count,favorite_count
287,836677758902222849,2178,12417
288,836648853927522308,541,0
289,836397794269200385,26840,0
290,836380477523124226,2920,14523
291,836260088725786625,4209,20960
292,836001077879255040,4162,18754
293,835685285446955009,7950,0
294,835574547218894849,3539,17500
295,835536468978302976,1654,0
296,835309094223372289,20440,0
297,835297930240217089,2932,16214
298,835264098648616962,1654,7600
299,835246439529840640,72,2060
300,835172783151792128,5637,25740
301,835152434251116546,2934,22005
302,834931633769889797,1595,10616
303,834786237630337024,5392,21087
304,834574053763584002,2467,13430
305,834477809192075265,10415,0
306,834458053273591808,1640,9481
307,834209720923721728,4638,20232
308,834167344700198914,3586,15582
309,834089966724603904,2092,9885
310,834086379323871233,2161,12854
311,833863086058651648,2357,13231
312,833826103416520705,3698,17821
313,833732339549220864,219,0
314,833722901757046785,3160,20531
315,833479644947025920,2006,14646
316,833124694597443584,4751,19907
317,832998151111966721,2153,13053
318,832769181346996225,39,0
319,832757312314028032,3544,16631
320,832682457690300417,2856,11700
321,832645525019123713,523,2888
322,832636094638288896,2730,15630
323,832397543355072512,2165,11792
324,832369877331693569,3132,16937
325,832273440279240704,2288,11187
326,832215909146226688,6090,0
327,832215726631055365,9147,0
328,832088576586297345,2,62
329,832040443403784192,9415,0
330,832032802820481025,4577,17610
331,831939777352105988,6016,23656
332,831926988323639298,34,331
333,831911600680497154,6368,27206
334,831670449226514432,1779,10289
335,831650051525054464,1882,7022
336,831552930092285952,2280,8859
337,831322785565769729,1528,9164
338,831315979191906304,1104,6456
339,831309418084069378,2420,11615
340,831262627380748289,2005,11742
341,830956169170665475,1467,7883
342,830583320585068544,16439,65907
343,830173239259324417,5586,0
344,830097400375152640,2882,9663
345,829878982036299777,4917,0
346,829861396166877184,1908,12089
347,829501995190984704,10415,31331
348,829449946868879360,1976,10342
349,829141528400556032,7194,24084
350,829011960981237760,16050,52591
351,828801551087042563,3370,0
352,828770345708580865,5749,25288
353,828708714936930305,10990,36058
354,828650029636317184,1316,9395
355,828409743546925057,1147,6280
356,828408677031882754,1265,7593
357,828381636999917570,2181,12448
358,828376505180889089,1050,7288
359,828372645993398273,2884,12435
360,828361771580813312,172,2164
361,828046555563323392,2827,11627
362,828011680017821696,2121,10238
363,827933404142436356,5148,19871
364,827653905312006145,2977,15331
365,827600520311402496,929,7387
366,827324948884643840,2991,15674
367,827199976799354881,2192,10475
368,826958653328592898,4917,21331
369,826848821049180160,9989,35911
370,826615380357632002,3932,0
371,826598799820865537,247,5075
372,826598365270007810,2309,9922
373,826476773533745153,4122,18208
374,826240494070030336,2571,13148
375,826204788643753985,909,4827
376,826115272272650244,3058,15485
377,825876512159186944,1839,10375
378,825829644528148480,2455,12620
379,825535076884762624,17320,56357
380,825147591692263424,4477,18123
381,825120256414846976,1236,0
382,825026590719483904,1236,6225
383,824796380199809024,5431,0
384,824775126675836928,3463,14760
385,824663926340194305,1751,10428
386,824325613288833024,10420,11718
387,824297048279236611,3811,14933
388,824025158776213504,593,4784
389,823939628516474880,2666,10531
390,823719002937630720,11025,0
391,823699002998870016,2491,13854
392,823581115634085888,2595,12913
393,823333489516937216,22,697
394,823322678127919110,3968,15605
395,823269594223824897,9759,0
396,822975315408461824,3401,17186
397,822872901745569793,42628,130433
398,822859134160621569,2243,13146
399,822647212903690241,6341,0
400,822610361945911296,2925,14689
401,822489057087389700,6341,17997
402,822462944365645825,14083,27736
403,822244816520155136,9759,34671
404,822163064745328640,4702,0
405,821886076407029760,2278,11231
406,821813639212650496,3343,0
407,821765923262631936,1637,8336
408,821522889702862852,1735,7968
409,821421320206483457,5513,0
410,821407182352777218,4291,11667
411,821153421864615936,10,254
412,821149554670182400,1949,8568
413,821107785811234820,2115,9526
414,821044531881721856,2251,12584
415,820837357901512704,6650,0
416,820749716845686786,9770,31330
417,820690176645140481,3198,12134
418,820494788566847489,560,0
419,820446719150292993,2547,0
420,820314633777061888,560,3324
421,820078625395449857,6217,19684
422,820013781606658049,1164,0
423,819952236453363712,1164,5291
424,819924195358416896,4836,12836
425,819711362133872643,3078,13290
426,819588359383371776,1975,9591
427,819347104292290561,1191,7172
428,819238181065359361,404,2248
429,819227688460238848,6650,22937
430,819015337530290176,36561,0
431,819015331746349057,18825,0
432,819006400881917954,18825,45059
433,819004803107983360,36561,86516
434,818646164899774465,20783,0
435,818627210458333184,7478,22282
436,818614493328580609,2527,9782
437,818588835076603904,6069,0
438,818536468981415936,2429,10816
439,818307523543449600,7993,0
440,818259473185828864,2239,10955
441,818145370475810820,2544,12187
442,817908911860748288,796,4819
443,817827839487737858,26841,51328
444,817777686764523521,2661,10692
445,817536400337801217,2931,11713
446,817502432452313088,3357,0
447,817423860136083457,14562,33604
448,817415592588222464,938,5564
449,817181837579653120,8398,0
450,817171292965273600,2005,8715
451,817120970343411712,2579,12160
452,817056546584727552,1632,8544
453,816829038950027264,4690,0
454,816816676327063552,2029,9953
455,816697700272001025,2166,9726
456,816450570814898180,7993,30278
457,816336735214911488,1933,8569
458,816091915477250048,2122,8892
459,816062466425819140,1012,0
460,816014286006976512,5227,0
461,815990720817401858,1012,4922
462,815966073409433600,8398,22294
463,815745968457060357,4100,0
464,815736392542261248,2244,9804
465,815639385530101762,1642,8198
466,815390420867969024,3788,10327
467,814986499976527872,1272,7627
468,814638523311648768,2683,11214
469,814578408554463233,5800,0
470,814530161257443328,1849,8613
471,814153002265309185,8621,28664
472,813944609378369540,3173,0
473,813910438903693312,1854,9278
474,813812741911748608,13890,36327
475,813800681631023104,1746,8287
476,813217897535406080,7256,18604
477,813202720496779264,1811,9214
478,813187593374461952,4330,19802
479,813172488309972993,1910,9247
480,813157409116065792,2196,7763
481,813142292504645637,2371,8461
482,813130366689148928,446,4476
483,813127251579564032,3114,11802
484,813112105746448384,2724,10289
485,813096984823349248,3615,10562
486,813081950185472002,2774,9874
487,813066809284972545,1949,7932
488,813051746834595840,7332,20946
489,812781120811126785,1897,7551
490,812709060537683968,1435,6600
491,812503143955202048,1212,6051
492,812466873996607488,1928,7952
493,812372279581671427,3646,13630
494,811985624773361665,1396,7256
495,811744202451197953,1584,7524
496,811647686436880384,739,5599
497,811627233043480576,3070,12754
498,811386762094317568,6371,20881
499,810984652412424192,1436,5317
500,810896069567610880,1759,8979
